Reading_ID,Temperature_C,Vibration_mm_s,Inlet_Pressure_bar,Outlet_Pressure_bar,Flow_Rate_Lmin,RPM,Power_kW,Operating_Hours,Condition
35,68.4,3.34,1.13,4.97,119.2,1442.0,4.34,331.0,Normal
36,73.3,2.52,1.2,5.21,118.8,1465.0,4.25,355.0,Normal
37,73.4,3.1,1.24,5.14,116.9,1447.0,4.28,365.0,Normal
38,68.9,2.23,1.11,5.11,119.1,1453.0,4.43,376.0,Normal
39,71.2,2.48,1.24,5.36,117.6,1439.0,4.24,379.0,Normal
40,73.3,3.09,1.24,5.12,119.3,1438.0,4.06,405.0,Normal
41,69.3,3.31,1.25,5.1,116.5,1458.0,4.57,376.0,Normal
42,69.7,3.08,1.26,5.21,117.4,1445.0,4.51,452.0,Normal
43,68.9,2.97,1.31,5.28,115.0,1440.0,4.11,413.0,Normal
44,68.0,2.9,1.18,5.18,117.8,1442.0,4.41,391.0,Normal
45,68.8,2.43,1.2,5.34,115.5,1458.0,4.23,446.0,Normal
46,67.6,2.73,1.18,5.26,114.6,1442.0,4.34,424.0,Normal
47,70.1,2.84,1.2,4.94,118.7,1448.0,4.35,480.0,Normal
48,68.5,3.44,1.28,5.13,118.6,1450.0,4.27,536.0,Normal
49,70.6,3.16,1.13,5.13,120.3,1427.0,4.19,456.0,Normal
50,67.0,2.32,1.16,5.26,116.6,1432.0,4.2,500.0,Normal
51,70.8,3.15,1.27,4.88,119.2,1454.0,4.17,447.0,Normal
52,71.8,2.87,1.25,5.5,119.6,1441.0,4.18,524.0,Normal
53,66.1,2.75,1.18,5.26,119.3,1462.0,4.29,493.0,Normal
54,70.9,3.27,1.24,5.22,115.4,1461.0,4.2,511.0,Normal
55,72.6,3.44,1.22,5.34,118.4,1458.0,4.41,507.0,Normal
56,67.7,3.4,1.27,5.48,119.0,1472.0,4.53,572.0,Normal
57,73.5,2.69,1.2,5.3,117.9,1449.0,4.22,590.0,Normal
58,71.0,2.91,1.25,5.31,111.6,1458.0,4.34,571.0,Normal
59,68.7,3.16,1.33,5.21,118.4,1443.0,4.38,554.0,Normal
60,70.0,3.42,1.23,5.18,124.5,1479.0,4.38,638.0,Normal
61,71.2,2.84,1.2,5.14,116.8,1474.0,4.32,577.0,Normal
62,70.3,2.96,1.23,5.1,115.7,1450.0,4.42,545.0,Normal
63,71.2,2.59,1.18,5.11,119.0,1454.0,4.38,634.0,Normal
64,68.3,2.56,1.32,5.03,118.8,1466.0,4.12,597.0,Normal
65,70.5,3.36,1.21,5.19,121.5,1448.0,4.44,670.0,Normal
66,67.3,3.58,1.18,4.99,114.1,1442.0,4.44,639.0,Normal
67,69.9,3.01,1.16,5.22,120.1,1460.0,4.19,678.0,Normal
68,68.3,3.44,1.25,5.19,119.6,1451.0,4.31,712.0,Normal
69,68.7,3.18,1.24,5.21,117.4,1452.0,4.41,644.0,Normal
70,72.6,2.78,1.17,5.13,118.9,1440.0,4.28,673.0,Normal
71,72.4,3.19,1.23,5.57,121.0,1429.0,4.47,698.0,Normal
72,71.4,3.66,1.12,5.36,120.5,1452.0,4.66,756.0,Normal
73,68.0,3.03,1.21,5.05,114.4,1460.0,4.19,700.0,Normal
74,69.5,3.67,1.22,5.22,120.3,1447.0,4.1,712.0,Normal
75,72.6,2.0,1.28,5.12,117.7,1467.0,4.35,754.0,Normal
76,70.5,3.38,1.16,5.07,118.1,1441.0,4.42,733.0,Normal
77,74.8,3.08,1.13,5.03,118.1,1437.0,4.28,765.0,Normal
78,71.0,2.93,1.15,5.25,117.4,1449.0,4.53,723.0,Normal
79,70.6,3.09,1.13,5.11,121.4,1449.0,4.11,846.0,Normal
80,69.6,2.26,1.26,5.31,117.6,1459.0,4.41,750.0,Normal
81,70.5,2.97,1.28,5.31,114.5,1440.0,4.22,790.0,Normal
82,69.9,3.2,1.21,5.36,116.6,1466.0,4.57,809.0,Normal
83,71.6,3.65,1.26,5.09,118.4,1473.0,4.61,877.0,Normal
84,72.1,2.85,1.2,5.25,121.5,1449.0,4.2,790.0,Normal
85,68.7,2.73,1.19,5.27,119.6,1464.0,4.23,900.0,Normal
86,67.6,2.86,1.18,5.14,115.3,1437.0,4.44,873.0,Normal
87,66.6,3.43,1.18,5.1,125.3,1462.0,4.25,873.0,Normal
88,71.3,3.19,1.12,5.39,118.6,1462.0,4.31,840.0,Normal
89,68.0,2.85,1.21,5.22,121.6,1460.0,4.32,897.0,Normal
90,66.0,3.27,1.2,5.27,117.3,1449.0,4.03,868.0,Normal
91,71.0,3.1,1.23,5.1,119.4,1414.0,4.31,938.0,Normal
92,75.3,3.45,1.2,5.05,120.3,1442.0,4.21,881.0,Normal
93,70.3,2.79,1.19,5.13,121.4,1442.0,4.24,917.0,Normal
94,72.0,2.94,1.15,5.18,121.0,1438.0,4.53,913.0,Normal
95,70.4,2.91,1.2,5.07,120.4,1451.0,4.13,910.0,Normal
96,70.1,2.49,1.23,5.19,116.8,1444.0,4.44,972.0,Normal
97,72.1,3.19,1.14,4.99,116.1,1439.0,4.27,976.0,Normal
98,69.7,3.18,1.2,5.06,118.8,1437.0,4.27,1006.0,Normal
99,70.8,3.08,1.21,5.27,120.6,1441.0,4.43,927.0,Normal
100,71.0,2.98,1.16,5.27,117.1,1463.0,4.37,1022.0,Normal
101,69.0,2.51,1.17,5.15,120.9,1441.0,4.4,1075.0,Normal
102,72.3,2.91,1.21,5.07,122.1,1443.0,4.46,996.0,Normal
103,70.0,2.95,1.14,5.07,115.0,1444.0,4.27,1077.0,Normal
104,68.8,2.76,1.21,5.15,115.2,1453.0,4.23,1022.0,Normal
105,71.4,3.02,1.15,5.27,117.3,1455.0,4.15,999.0,Normal
106,68.6,3.25,1.25,5.3,118.6,1413.0,4.19,1041.0,Normal
107,70.4,3.84,1.31,5.13,116.1,1461.0,4.76,1091.0,Normal
108,70.3,3.16,1.15,5.05,121.8,1466.0,4.5,1045.0,Normal
109,72.5,3.19,1.22,5.22,119.0,1437.0,4.12,1062.0,Normal
110,71.3,3.06,1.16,5.09,117.8,1437.0,4.12,1108.0,Normal
111,70.3,2.33,1.25,5.13,113.4,1444.0,4.39,1100.0,Normal
112,72.0,3.09,1.13,5.35,113.7,1440.0,4.4,1128.0,Normal
113,73.2,3.12,1.22,5.29,118.5,1452.0,4.4,1127.0,Normal
114,71.5,4.08,1.15,5.21,111.3,1426.0,4.28,1144.0,Normal
115,70.4,3.02,1.19,5.04,120.7,1436.0,4.3,1127.0,Normal
116,67.8,3.22,1.14,5.22,117.2,1468.0,4.37,1157.0,Normal
117,68.3,3.09,1.24,5.32,127.4,1438.0,4.33,1132.0,Normal
118,69.8,2.64,1.15,5.15,124.6,1464.0,3.99,1209.0,Normal
119,69.2,3.56,1.22,5.35,117.1,1453.0,4.29,1161.0,Normal
120,70.1,3.41,1.18,5.34,117.3,1427.0,4.19,1224.0,Normal
121,70.6,3.43,1.19,5.39,120.6,1457.0,4.35,1193.0,Normal
122,71.5,2.75,1.2,5.23,122.8,1448.0,4.77,1216.0,Normal
123,70.3,3.68,1.16,5.26,112.7,1443.0,4.38,1205.0,Normal
124,71.4,2.56,1.21,5.36,112.3,1452.0,4.28,1200.0,Normal
125,70.6,3.35,1.27,5.24,115.8,1455.0,4.46,1188.0,Normal
126,66.5,4.0,1.16,5.13,119.4,1457.0,4.4,1218.0,Normal
127,68.6,2.72,1.25,5.13,119.1,1463.0,4.39,1250.0,Normal
128,70.2,2.9,1.27,5.22,120.8,1454.0,4.42,1276.0,Normal
129,68.1,3.16,1.15,5.03,114.0,1432.0,4.63,1310.0,Normal
130,71.7,2.92,1.12,5.17,110.7,1443.0,4.16,1277.0,Normal
131,73.6,2.51,1.21,5.32,120.2,1484.0,4.4,1274.0,Normal
132,73.0,3.16,1.17,4.92,115.1,1457.0,4.19,1267.0,Normal
133,70.1,2.71,1.29,5.37,111.5,1477.0,4.41,1334.0,Normal
134,73.5,3.32,1.2,5.32,118.0,1466.0,4.19,1371.0,Normal
135,70.8,2.77,1.15,5.13,120.0,1452.0,4.26,1378.0,Normal
136,69.9,3.76,1.14,5.25,117.2,1452.0,4.28,1371.0,Normal
137,69.3,2.83,1.25,5.19,116.2,1448.0,4.47,1379.0,Normal
138,70.0,3.01,1.17,5.33,117.1,1428.0,4.47,1421.0,Normal
139,69.8,3.47,1.2,5.3,116.4,1449.0,4.14,1390.0,Normal
140,70.9,2.65,1.24,5.02,113.5,1463.0,4.34,1409.0,Normal
141,70.9,3.24,1.17,5.26,115.4,1441.0,4.22,1390.0,Normal
142,70.6,3.67,1.19,5.16,119.1,1454.0,4.14,1369.0,Normal
143,71.5,2.51,1.19,5.2,118.5,1459.0,4.3,1399.0,Normal
144,73.0,3.23,1.23,5.1,118.0,1438.0,4.28,1430.0,Normal
145,72.5,3.26,1.22,5.4,114.5,1443.0,4.69,1442.0,Normal
146,67.7,3.47,1.18,5.31,117.0,1436.0,4.4,1508.0,Normal
147,65.5,2.66,1.2,5.1,111.0,1439.0,4.12,1462.0,Normal
148,72.5,2.63,1.18,5.03,118.0,1433.0,4.25,1505.0,Normal
149,67.9,3.37,1.12,5.14,121.8,1438.0,4.49,1467.0,Normal
150,70.2,3.28,1.21,5.24,113.1,1466.0,4.65,1481.0,Normal
151,68.3,3.27,1.29,5.21,115.7,1437.0,4.1,1460.0,Normal
152,67.1,3.31,1.15,5.33,118.5,1450.0,4.05,1488.0,Normal
153,71.8,2.9,1.15,5.28,121.2,1442.0,4.61,1536.0,Normal
154,72.2,3.26,1.15,5.3,116.1,1463.0,4.39,1530.0,Normal
155,69.5,3.29,1.23,5.22,115.4,1464.0,4.2,1568.0,Normal
156,65.5,2.89,1.22,5.02,111.5,1459.0,4.42,1555.0,Normal
157,69.6,3.92,1.18,5.16,117.8,1452.0,3.94,1549.0,Normal
158,71.5,3.37,1.15,5.31,123.6,1446.0,4.34,1634.0,Normal
159,67.8,2.71,1.2,5.18,118.3,1434.0,4.39,1577.0,Normal
160,71.1,3.45,1.11,5.24,117.4,1472.0,4.48,1625.0,Normal
161,70.7,2.8,1.2,5.14,118.4,1439.0,4.19,1588.0,Normal
162,71.9,3.5,1.24,5.06,117.4,1456.0,4.35,1631.0,Normal
163,71.0,3.65,1.13,5.17,115.0,1461.0,4.2,1648.0,Normal
164,68.8,2.86,1.12,5.22,119.9,1442.0,4.38,1636.0,Normal
165,73.2,3.58,1.27,5.1,118.1,1461.0,4.2,1569.0,Normal
166,70.5,3.36,1.16,5.15,117.4,1457.0,4.28,1651.0,Normal
167,70.7,3.53,1.25,5.07,114.4,1469.0,4.19,1697.0,Normal
168,68.9,3.96,1.18,5.32,121.3,1443.0,4.44,1686.0,Normal
169,69.9,3.11,1.18,5.15,119.4,1433.0,4.47,1693.0,Normal
170,69.1,2.9,1.21,5.36,115.7,1442.0,4.31,1638.0,Normal
171,70.5,2.85,1.15,5.36,120.4,1451.0,4.35,1678.0,Normal
172,74.3,2.88,1.2,5.17,115.8,1449.0,4.12,1722.0,Normal
173,68.1,3.18,1.17,5.06,115.0,1443.0,4.3,1732.0,Normal
174,67.6,3.35,1.13,4.93,115.0,1425.0,4.34,1766.0,Normal
175,73.8,3.33,1.21,5.0,112.0,1454.0,4.74,1736.0,Normal
176,70.5,3.55,1.18,5.01,118.7,1472.0,4.18,1762.0,Normal
177,69.5,3.23,1.18,5.34,111.8,1454.0,4.56,1760.0,Normal
178,73.0,3.8,1.13,5.19,113.6,1455.0,4.49,1740.0,Normal
179,69.7,3.12,1.27,5.23,111.1,1455.0,4.39,1712.0,Normal
180,74.6,4.32,1.23,4.91,117.0,1453.0,4.61,1803.0,Normal
181,72.3,3.48,1.24,5.03,116.8,1459.0,4.4,1805.0,Normal
182,70.0,2.89,1.18,5.28,116.3,1453.0,4.4,1791.0,Normal
183,75.3,2.81,1.1,5.21,114.1,1444.0,4.34,1771.0,Normal
184,69.7,3.43,1.29,5.16,113.7,1438.0,4.53,1849.0,Normal
185,72.4,3.15,1.19,5.25,118.6,1445.0,4.51,1832.0,Normal
186,71.6,3.53,1.15,5.37,115.6,1452.0,4.25,1867.0,Normal
187,73.6,3.43,1.21,5.15,118.2,1444.0,4.15,1916.0,Normal
188,74.1,3.22,1.25,5.19,114.6,1451.0,4.32,1806.0,Normal
189,71.1,2.91,1.19,5.2,117.8,1453.0,4.23,1859.0,Normal
190,69.5,2.65,1.25,5.46,121.1,1458.0,4.34,1884.0,Normal
191,71.9,3.08,1.24,4.92,119.0,1463.0,4.54,1944.0,Normal
192,69.7,3.6,1.14,5.26,116.0,1449.0,4.28,1861.0,Normal
193,75.1,3.34,1.16,5.16,118.0,1432.0,4.35,1978.0,Normal
194,71.3,2.76,1.24,5.24,116.5,1443.0,4.36,1934.0,Normal
195,70.3,3.33,1.05,5.1,117.2,1448.0,4.48,1937.0,Normal
196,71.4,3.42,1.18,5.17,116.2,1426.0,4.02,1944.0,Normal
197,68.4,2.91,1.12,5.26,116.7,1464.0,4.26,1947.0,Normal
198,69.1,3.33,1.17,5.55,117.8,1449.0,4.39,2001.0,Normal
199,73.5,3.3,1.17,5.27,114.2,1452.0,4.53,1948.0,Normal
200,69.8,2.82,1.17,5.07,114.1,1464.0,4.28,2000.0,Normal
201,69.0,3.42,1.16,5.12,113.0,1440.0,4.07,1988.0,Normal
202,72.2,3.51,1.13,5.12,112.3,1454.0,4.45,1987.0,Normal
203,73.5,3.72,1.3,4.96,113.5,1446.0,4.26,2098.0,Normal
204,72.6,3.71,1.28,5.13,117.6,1445.0,4.18,2043.0,Normal
205,73.1,2.74,1.13,5.26,114.4,1438.0,4.26,2058.0,Normal
206,69.6,2.92,1.27,5.02,118.6,1467.0,4.33,2084.0,Normal
207,68.3,3.5,1.17,5.3,117.2,1443.0,4.27,2017.0,Normal
208,74.2,3.5,1.19,5.23,111.2,1456.0,4.03,2123.0,Normal
209,70.5,3.5,1.18,5.08,119.0,1425.0,4.49,2005.0,Normal
210,70.7,4.84,1.15,5.16,119.5,1461.0,4.55,2067.0,Normal
211,73.9,3.53,1.24,5.36,114.1,1460.0,4.46,2086.0,Normal
212,72.3,3.76,1.19,5.26,118.3,1448.0,4.19,2127.0,Normal
213,72.1,3.69,1.16,5.17,114.5,1444.0,4.33,2127.0,Normal
214,75.6,3.57,1.12,5.14,117.3,1452.0,4.36,2125.0,Normal
215,70.0,3.19,1.14,5.18,113.2,1475.0,4.45,2140.0,Normal
216,73.1,3.62,1.11,5.11,111.6,1426.0,4.46,2121.0,Normal
217,71.4,3.01,1.19,4.92,115.8,1456.0,4.25,2115.0,Normal
218,71.8,3.23,1.13,5.42,116.6,1436.0,4.38,2192.0,Normal
219,74.4,3.13,1.17,5.19,115.8,1447.0,4.43,2201.0,Normal
220,72.3,3.36,1.26,5.22,113.4,1444.0,4.58,2238.0,Normal
221,72.4,4.26,1.25,5.16,115.8,1442.0,4.47,2176.0,Normal
222,73.5,2.59,1.19,5.08,117.8,1447.0,4.48,2231.0,Normal
223,70.6,3.61,1.18,5.15,116.8,1433.0,4.38,2211.0,Normal
224,69.7,2.69,1.28,4.98,117.5,1459.0,4.58,2266.0,Normal
225,69.3,3.15,1.21,5.44,114.9,1425.0,4.43,2271.0,Normal
226,67.4,3.78,1.17,5.02,120.4,1453.0,4.24,2256.0,Normal
227,75.5,3.37,1.11,5.04,113.4,1443.0,4.58,2250.0,Normal
228,69.2,2.92,1.21,5.11,118.4,1433.0,4.47,2299.0,Normal
229,71.0,3.07,1.23,5.32,120.4,1449.0,4.3,2299.0,Normal
230,70.9,3.63,1.15,5.17,118.3,1428.0,4.3,2269.0,Normal
231,72.0,3.07,1.2,5.02,116.3,1447.0,4.42,2260.0,Normal
232,73.1,3.45,1.17,5.32,115.3,1430.0,4.44,2301.0,Normal
233,73.2,3.38,1.18,5.25,120.0,1452.0,4.4,2365.0,Normal
234,70.3,3.11,1.06,5.23,112.6,1436.0,4.42,2364.0,Normal
235,71.1,4.23,1.17,5.25,113.9,1441.0,4.63,2307.0,Normal
236,72.1,3.63,1.23,5.45,115.6,1450.0,4.54,2315.0,Normal
237,71.0,2.56,1.15,5.43,120.5,1437.0,4.4,2398.0,Normal
238,74.7,3.45,1.19,5.08,118.0,1446.0,4.52,2336.0,Normal
239,72.5,3.12,1.15,5.36,113.9,1428.0,4.22,2395.0,Normal
240,73.0,3.72,1.2,5.21,115.9,1454.0,4.44,2372.0,Normal
241,72.9,3.07,1.17,5.22,114.9,1468.0,4.65,2449.0,Normal
242,73.9,3.34,1.14,4.96,114.6,1480.0,4.35,2387.0,Normal
243,71.9,3.59,1.25,5.14,119.7,1447.0,4.25,2454.0,Normal
244,69.0,3.74,1.23,5.07,112.6,1456.0,4.28,2436.0,Normal
245,72.4,2.92,1.15,5.26,121.6,1425.0,4.22,2448.0,Normal
246,70.3,3.27,1.21,5.29,119.2,1464.0,4.26,2391.0,Normal
247,70.6,3.21,1.21,4.91,120.0,1456.0,4.33,2394.0,Normal
248,72.8,3.15,1.22,5.16,115.3,1440.0,4.17,2463.0,Normal
249,74.1,4.12,1.1,5.3,116.3,1461.0,4.38,2487.0,Normal
250,71.7,3.57,1.23,5.14,112.4,1443.0,4.52,2456.0,Normal
251,72.3,2.91,1.15,5.25,115.1,1441.0,4.25,2467.0,Normal
252,75.1,3.79,1.17,5.2,118.2,1452.0,4.61,2527.0,Normal
253,72.2,4.27,1.32,5.2,120.6,1433.0,4.46,2537.0,Normal
254,76.9,3.84,1.2,5.13,113.3,1458.0,4.54,2526.0,Normal
255,72.8,2.82,1.16,5.01,115.6,1433.0,4.29,2563.0,Normal
256,68.2,3.24,1.07,5.03,116.2,1433.0,4.51,2515.0,Normal
257,73.2,3.94,1.25,5.24,112.4,1435.0,4.22,2549.0,Normal
258,72.5,3.15,1.12,5.16,118.4,1455.0,4.52,2619.0,Normal
259,74.3,3.62,1.13,5.14,114.4,1439.0,4.41,2582.0,Normal
260,73.1,3.75,1.17,5.11,116.0,1430.0,4.47,2594.0,Normal
261,71.5,3.08,1.25,5.12,115.2,1439.0,4.21,2669.0,Normal
262,69.3,3.43,1.22,5.28,114.2,1445.0,4.26,2568.0,Normal
263,71.4,2.16,1.17,5.12,116.6,1432.0,4.48,2644.0,Normal
264,70.1,3.05,1.2,5.0,115.9,1432.0,4.25,2680.0,Normal
265,70.7,3.36,1.15,5.25,115.4,1471.0,4.46,2630.0,Normal
266,73.0,2.96,1.19,5.13,114.4,1435.0,4.19,2676.0,Normal
267,75.2,4.12,1.19,5.16,117.5,1442.0,4.52,2631.0,Normal
268,72.7,2.9,1.23,5.35,121.5,1441.0,4.21,2649.0,Normal
269,69.5,3.3,1.23,5.15,116.9,1441.0,4.48,2692.0,Normal
270,72.8,3.53,1.21,5.19,119.5,1453.0,4.49,2714.0,Normal
271,74.3,4.05,1.16,5.01,112.3,1457.0,4.29,2734.0,Normal
272,70.7,2.91,1.22,5.13,117.0,1442.0,4.48,2757.0,Normal
273,71.7,3.95,1.18,5.23,113.2,1431.0,4.44,2718.0,Normal
274,72.0,3.49,1.13,4.97,112.0,1461.0,4.32,2766.0,Normal
275,70.4,3.1,1.16,5.18,114.2,1444.0,4.25,2730.0,Normal
276,73.3,3.68,1.18,5.17,120.0,1466.0,4.1,2777.0,Normal
277,71.7,3.58,1.23,5.16,119.3,1418.0,4.45,2766.0,Normal
278,72.8,3.26,1.17,5.28,117.2,1448.0,4.17,2783.0,Normal
279,70.2,3.53,1.12,5.19,111.8,1468.0,4.41,2793.0,Normal
280,71.2,3.35,1.18,5.33,115.8,1441.0,4.36,2742.0,Normal
281,73.5,3.56,1.19,5.03,117.3,1443.0,4.5,2766.0,Normal
282,71.3,3.78,1.19,5.17,116.9,1449.0,4.36,2813.0,Normal
283,75.5,4.15,1.23,5.16,110.8,1438.0,4.35,2769.0,Normal
284,71.3,3.02,1.23,5.02,113.7,1441.0,4.51,2855.0,Normal
285,72.5,4.38,1.15,5.27,116.2,1441.0,4.45,2866.0,Normal
286,74.0,2.75,1.15,5.43,118.0,1438.0,4.45,2860.0,Normal
287,69.3,3.47,1.13,5.15,109.7,1460.0,4.48,2826.0,Normal
288,68.6,3.77,1.21,5.21,115.8,1451.0,4.18,2911.0,Normal
289,69.1,3.65,1.25,5.16,116.7,1448.0,4.52,2941.0,Normal
290,74.7,3.29,1.16,5.06,118.9,1455.0,4.5,2894.0,Normal
291,71.1,3.46,1.17,4.93,118.4,1442.0,4.26,2915.0,Normal
292,77.3,3.35,1.25,5.06,118.0,1436.0,4.37,2916.0,Normal
293,71.1,3.31,1.2,4.98,113.9,1438.0,4.4,2936.0,Normal
294,72.6,3.89,1.2,5.35,110.5,1445.0,4.39,2926.0,Normal
295,75.3,3.7,1.12,5.13,115.1,1432.0,4.46,2939.0,Normal
296,76.3,3.28,1.21,5.11,119.2,1439.0,4.63,2977.0,Normal
297,76.4,3.92,1.13,5.25,120.4,1439.0,4.57,3030.0,Normal
298,74.7,3.69,1.12,5.01,118.3,1470.0,4.22,2928.0,Normal
299,74.3,3.9,1.16,5.06,117.5,1411.0,4.51,2977.0,Normal
300,73.5,3.83,1.15,5.15,117.3,1443.0,4.61,2955.0,Normal
301,73.9,3.25,1.17,5.27,114.5,1465.0,4.47,3048.0,Normal
302,71.2,3.36,1.1,5.21,115.8,1446.0,4.58,2992.0,Normal
303,70.7,3.88,1.22,5.18,121.2,1454.0,4.72,2977.0,Normal
304,72.3,3.83,1.23,5.15,113.3,1446.0,4.57,3049.0,Normal
305,72.0,3.58,1.08,5.19,121.0,1437.0,4.46,3092.0,Normal
306,71.5,3.64,1.23,5.17,115.2,1418.0,4.58,3070.0,Normal
307,73.8,4.11,1.14,5.02,120.1,1447.0,4.44,3066.0,Normal
308,74.3,3.37,1.22,5.15,111.9,1435.0,4.42,3082.0,Normal
309,72.6,3.82,1.17,5.01,117.9,1435.0,4.37,3122.0,Normal
310,75.4,3.53,1.18,5.15,113.9,1438.0,4.66,3064.0,Normal
311,70.2,3.53,1.17,5.09,111.8,1465.0,4.3,3097.0,Normal
312,72.1,4.06,1.24,5.45,116.7,1473.0,4.65,3096.0,Normal
313,71.0,3.95,1.11,5.14,119.1,1447.0,4.5,3085.0,Normal
314,68.8,3.95,1.21,4.97,113.5,1439.0,4.21,3120.0,Normal
315,72.3,4.15,1.23,5.13,111.5,1430.0,4.48,3173.0,Normal
316,72.3,3.64,1.21,5.2,115.7,1450.0,4.11,3167.0,Normal
317,75.6,3.91,1.29,5.34,115.7,1466.0,4.52,3179.0,Normal
318,73.8,3.51,1.15,5.07,117.6,1441.0,4.56,3174.0,Normal
319,70.5,3.77,1.22,4.95,118.8,1415.0,4.34,3196.0,Normal
320,76.3,3.59,1.17,5.24,115.8,1452.0,4.45,3166.0,Normal
321,75.0,3.69,1.24,4.97,121.5,1456.0,4.72,3191.0,Normal
322,73.8,3.89,1.17,5.09,116.6,1425.0,4.35,3216.0,Normal
323,72.2,3.33,1.15,5.11,114.9,1446.0,4.27,3228.0,Normal
324,70.7,4.5,1.24,5.13,111.1,1449.0,4.65,3240.0,Normal
325,71.9,3.26,1.15,5.22,115.1,1443.0,4.73,3236.0,Normal
326,74.8,3.18,1.1,5.06,114.9,1434.0,4.43,3239.0,Normal
327,76.5,4.13,1.15,5.1,118.8,1456.0,4.59,3355.0,Normal
328,75.8,3.99,1.2,5.14,117.3,1439.0,4.64,3297.0,Normal
329,71.7,3.93,1.24,5.16,112.3,1426.0,4.32,3292.0,Normal
330,70.5,3.93,1.18,5.15,116.4,1419.0,4.36,3283.0,Normal
331,73.0,3.68,1.24,5.19,117.9,1459.0,4.62,3286.0,Normal
332,69.2,3.33,1.1,5.24,120.4,1451.0,4.69,3306.0,Normal
333,73.4,3.72,1.15,5.18,118.5,1445.0,4.52,3329.0,Normal
334,72.5,3.43,1.16,5.19,118.1,1438.0,4.31,3274.0,Normal
335,71.9,4.09,1.17,4.95,116.0,1437.0,4.74,3293.0,Normal
336,69.6,3.65,1.18,5.14,117.0,1431.0,4.36,3331.0,Normal
337,73.9,3.38,1.21,5.19,119.5,1438.0,4.39,3366.0,Normal
338,71.8,3.58,1.15,5.22,111.8,1418.0,4.49,3363.0,Normal
339,70.5,3.88,1.18,5.05,114.7,1435.0,4.68,3424.0,Normal
340,67.1,3.49,1.17,5.05,113.4,1440.0,4.57,3346.0,Normal
341,72.8,3.39,1.12,5.06,116.9,1451.0,4.51,3377.0,Normal
342,76.5,3.82,1.17,5.2,119.4,1443.0,4.51,3456.0,Normal
343,76.2,3.83,1.16,5.26,113.9,1453.0,4.45,3424.0,Normal
344,72.0,3.53,1.16,5.08,108.5,1459.0,4.53,3457.0,Normal
345,71.7,3.55,1.17,5.24,114.4,1456.0,4.07,3502.0,Normal
346,73.9,3.84,1.17,5.15,118.4,1449.0,4.4,3429.0,Normal
347,71.0,3.17,1.15,5.12,117.3,1443.0,4.49,3457.0,Normal
348,73.6,3.19,1.23,5.1,116.9,1431.0,4.28,3462.0,Normal
